course_id,attempts,score_rate,teacher_rank,school_rank,user's_school_rank,sentiment,num_of_user,label
C_584313,1.275708788,0.0,4.0,5.0,3.0,0.0,3,2.0
C_584329,2.5645072,0.0,5.0,5.0,2.833333333,0.0,6,2.0
C_584381,2.242842923,0.0,4.0,5.0,2.2,0.0,5,1.0
C_597208,1.842890264,0.0,4.0,5.0,3.0,0.0,10,2.0
C_597225,2.988910432,0.0,4.0,3.0,2.75,0.0,8,2.0
C_597229,1.257962507,0.0,4.0,5.0,2.0,0.0,6,1.0
C_597291,1.290996347,0.0,4.0,3.0,3.0,0.0,4,1.0
C_597307,1.4735016,0.0,4.0,5.0,1.5,0.0,2,1.0
C_597365,0.0,-1.0,4.0,4.939871894,2.0,0.0,2,2.0
C_597367,0.0,-1.0,4.0,2.271565946,2.333333333,0.0,3,1.0
C_645178,0.0,-1.0,5.0,4.0,1.5,0.0,4,2.0
C_608132,0.0,-1.0,4.0,1.4947694,2.0,0.0,2,1.0
C_678165,1.097180743,0.0,4.0,1.542955372,3.0,0.0,2,1.0
C_629513,2.47676717,0.0,4.0,3.0,1.0,0.0,1,1.0
C_629514,1.050182757,0.0,4.0,5.0,1.75,0.0,8,2.0
C_629515,1.06210575,0.0,4.0,2.0,1.0,0.0,2,1.0
C_629520,0.0,-1.0,4.0,4.0,2.0,0.0,2,1.0
C_629522,1.890420274,0.0,4.0,4.0,1.5,0.0,2,1.0
C_654397,0.0,-1.0,4.951754059,1.010515309,1.666666667,0.0,3,1.0
C_654551,1.448094394,0.0,5.0,5.0,4.0,0.0,1,2.0
C_654504,2.555443375,0.0,4.0,5.0,4.0,0.0,1,1.0
C_654505,2.770413656,0.0,4.0,5.0,4.0,0.0,1,1.0
C_655852,1.0,0.6666666667,4.0,5.0,1.87755102,0.0,48,2.0
C_655850,1.0,0.0,4.0,5.0,1.875,0.0,47,2.0
C_654554,1.592348253,0.0,4.0,5.0,1.875,0.0,47,2.0
C_654506,0.0,-1.0,4.713951312,5.0,1.875,0.0,47,2.0
C_629558,1.177589341,0.0,4.0,5.0,1.857142857,0.0,48,2.0
C_629503,1.913404394,0.0,4.0,5.0,1.857142857,0.0,48,2.0
C_597314,2.132688038,0.0,4.0,4.5,1.901960784,0.0,50,2.0
C_670597,0.0,-1.0,4.0,1.944128344,3.0,0.0,1,1.0
C_674903,1.151227934,0.0,4.0,5.0,2.09266981,3.6666666666666665,48029,3.0
C_674910,2.348598845,0.0,4.0,5.0,2.015950204,0.0,9927,3.0
C_674912,1.195921096,0.0,4.0,2.0,2.206565252,0.0,3689,2.0
C_674914,2.293817656,0.0,4.0,3.0,1.977165503,0.0,5106,3.0
C_674917,2.949877305,0.0,3.0,2.471233971,1.0,0.0,1,1.0
C_674920,1.0,0.8440155153,5.0,5.0,1.872110523,3.0,32466,3.0
C_674921,2.325569474,0.0,4.0,3.0,1.0,0.0,1,1.0
C_674923,2.634376198,0.0,4.0,3.0,1.922103598,0.0,2310,2.0
C_674926,2.620775209,0.0,4.0,2.871958596,1.0,0.0,1,1.0
C_674930,0.0,-1.0,4.0,3.0,1.0,0.0,1,1.0
